POSITION,TEAM,GAMES PLAYED,WIN,DRAW,LOSS,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,POINTS,YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME
12,Switzerland,4,2,0,2,5,9,-4,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,USA,4,1,2,1,3,4,-1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Spain,4,1,1,2,9,3,6,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Poland,4,1,1,2,3,5,-2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,South Korea,4,1,1,2,5,8,-3,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Germany,3,1,1,1,6,5,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Ecuador,3,1,1,1,4,3,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Cameroon,3,1,1,1,4,4,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Uruguay,3,1,1,1,2,2,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Tunisia,3,1,1,1,1,1,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Mexico,3,1,1,1,2,3,-1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Belgium,3,1,1,1,1,2,-1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Ghana,3,1,0,2,5,7,-2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,Saudi Arabia,3,1,0,2,3,5,-2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
26,Iran,3,1,0,2,4,7,-3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Costa Rica,3,1,0,2,3,11,-8,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Denmark,3,0,1,2,1,3,-2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
29,Serbia,3,0,1,2,5,8,-3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,Wales,3,0,1,2,1,6,-5,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,Canada,3,0,0,3,2,7,-5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,Qatar,3,0,0,3,1,7,-6,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Uruguay,4,4,0,0,15,3,12,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Argentina,5,4,0,1,18,9,9,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,United States,3,2,0,1,7,6,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Yugoslavia,3,2,0,1,7,7,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Chile,3,2,0,1,5,3,2,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Brazil,2,1,0,1,5,2,3,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,France,3,1,0,2,4,3,1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Romania,2,1,0,1,3,5,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Paraguay,2,1,0,1,1,3,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Peru,2,0,0,2,1,4,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Belgium,2,0,0,2,0,4,−4,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Bolivia,2,0,0,2,0,8,−8,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Mexico,3,0,0,3,4,13,−9,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,France,7,6,1,0,14,6,8,19,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Croatia,7,4,2,1,14,9,5,14,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Belgium,7,6,0,1,16,6,10,18,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,England,7,3,1,3,12,8,4,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Uruguay,5,4,0,1,7,3,4,12,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Brazil,5,3,1,1,8,3,5,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Sweden,5,3,0,2,6,4,2,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Russia,5,2,2,1,11,7,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Colombia,4,2,1,1,6,3,3,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Mexico,4,2,0,2,3,6,−3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Denmark,4,1,3,0,3,2,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Spain,4,1,3,0,7,6,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Portugal,4,1,2,1,6,6,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Switzerland,4,1,2,1,5,5,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Argentina,4,1,1,2,6,9,−3,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Japan,4,1,1,2,6,7,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Iran,3,1,1,1,2,2,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Senegal,3,1,1,1,4,4,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Germany,3,1,0,2,2,4,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Nigeria,3,1,0,2,3,4,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Peru,3,1,0,2,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Poland,3,1,0,2,2,5,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Saudi Arabia,3,1,0,2,2,7,−5,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Serbia,3,1,0,2,2,4,−2,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
25,South Korea,3,1,0,2,3,3,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
26,Tunisia,3,1,0,2,5,8,−3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
27,Australia,3,0,1,2,2,5,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
28,Costa Rica,3,0,1,2,2,5,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
29,Iceland,3,0,1,2,2,5,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
30,Morocco,3,0,1,2,2,4,−2,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
31,Egypt,3,0,0,3,2,6,−4,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
32,Panama,3,0,0,3,2,11,−9,0,1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1
1,Brazil,7,7,0,0,18,4,14,21,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Germany,7,5,1,1,14,3,11,16,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Turkey,7,4,1,2,10,6,4,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,South Korea,7,3,2,2,8,6,2,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Spain,5,3,2,0,10,5,5,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,England,5,2,2,1,6,3,3,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Senegal,5,2,2,1,7,6,1,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,United States,5,2,1,2,7,7,0,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Japan,4,2,1,1,5,3,2,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Denmark,4,2,1,1,5,5,0,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Mexico,4,2,1,1,4,4,0,7,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Republic of Ireland,4,1,3,0,6,3,3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Sweden,4,1,2,1,5,5,0,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Belgium,4,1,2,1,6,7,−1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Italy,4,1,1,2,5,5,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Paraguay,4,1,1,2,6,7,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,South Africa,3,1,1,1,5,5,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
